"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2315E1472499G","2023-05-02","E","appartement",NA,55,"Légère","2bis Rue des Pradels 15130 Arpajon-sur-Cère","15130","15012","84","15",658573.38,6423105.87,98.7,"bonne",15928.7,289,"Électricité",1183.7,"Électricité",NA
"2315E1569698R","2023-05-11","F","maison",NA,62,"Moyenne","29 La Molier 15400 Riom-ès-Montagnes","15400","15162","84","15",673766.06,6466312.92,203.1,"insuffisante",26702.6,430,"Fioul domestique",2042.4,"Fioul domestique",NA
"2315E1770517M","2023-05-29","D","appartement",NA,51.9,"Lourde","39 Place de la Liberté 15100 Saint-Flour","15100","15187","84","15",707953.39,6437170.49,68.8,"bonne",10230.9,197,"Électricité",797.1,"Électricité",NA
"2315E1709479W","2023-05-23","E","appartement",NA,38.2,"Légère","21 Rue du General d’Estaing 15000 Aurillac","15000","15014","84","15",655728.62,6425183.9,60.1,"insuffisante",10077.6,263,"Électricité",786.9,"Électricité",NA
"2315E1810677C","2023-05-31","G","maison",NA,100,"Légère","Cite du Val d'Auze 15250 Saint-Paul-des-Landes","15250","15204","84","15",646180.18,6426551.15,567.6,"insuffisante",52274.8,522,"Fioul domestique",3772,"Fioul domestique",NA
"2315E1832269O","2023-06-01","F","appartement",NA,25,"Très lourde","27 Rue des Carmes 15000 Aurillac","15000","15014","84","15",656037.41,6425378.08,95.5,"insuffisante",10312.7,412,"Gaz naturel",937,"Gaz naturel",NA
"2315E1453051G","2023-05-01","E","appartement",NA,40.2,"Légère","15 Rue Nouvelle 15200 Mauriac","15200","15120","84","15",648250.97,6458477.44,73.9,"moyenne",10334.8,257,"Électricité",810.9,"Électricité",NA
"2315E1479095Y","2023-05-01","E","appartement",NA,62.1,"Légère","16 Rue du Bar 15000 Aurillac","15000","15014","84","15",655561.9,6424577.75,151.1,"insuffisante",17838,287.2,"Réseau de Chauffage urbain",1440,"Réseau de Chauffage urbain",NA
"2315E1581734P","2023-05-11","E","maison",NA,76,"Légère","Labro Vieille 15150 Saint-Étienne-Cantalès","15150","15182","84","15",640113.43,6427096.35,185,"bonne",24083.3,316,"Électricité",1741.6,"Électricité",NA
"2315E1789775E","2023-05-30","B","maison",NA,125.8,"Légère","10 Rue des Ecoliers 15600 Saint-Étienne-de-Maurs","15600","15184","84","15",637205.97,6402634.66,268.7,"très bonne",12721.6,101,"Électricité",964.3,"Électricité",NA
"2315E1619360T","2023-05-14","E","maison",NA,80.7,"Légère","15 Rue Saint-roch 15240 Saignes","15240","15169","84","15",659432.53,6470813.65,357.3,"insuffisante",26550,328.9,"Gaz naturel",2099,"Gaz naturel",NA
"2315E1565811E","2023-05-10","C","maison",NA,106.6,"Moyenne","le Bourg 15250 Ayrens","15250","15016","84","15",646903.84,6431958.62,278.1,"bonne",18791.6,176,"Électricité",1379.6,"Électricité",NA
"2315E1955143M","2023-05-30","G","maison",NA,68.8,"Légère","Jaleyrac","15200","15079","84","15",649998.68,6463653.23,369.6,"insuffisante",43908.9,638.3,"Électricité",3108,"Électricité",NA
"2315E1784351O","2023-05-30","C","appartement",NA,85.1,"Légère","Rue du Docteur Mallet 15500 Massiac","15500","15119","84","15",715509.67,6461385.76,65,"insuffisante",11561.4,135.8,"Électricité",885,"Électricité",NA
"2315E1956852F","2023-05-29","G","maison",NA,113,"Légère","Bouisse 15380 Anglards-de-Salers","15380","15006","84","15",652671.35,6455680.65,578.4,"insuffisante",52782.4,467.1,"Fioul domestique",4889,"Fioul domestique",NA
"2315E1457185G","2023-05-02","F","maison",NA,85,"Moyenne","29 La Molier 15400 Riom-ès-Montagnes","15400","15162","84","15",673766.06,6466312.92,273,"insuffisante",35001.8,411,"Fioul domestique",2641.4,"Fioul domestique",NA
"2315E1658204T","2023-05-19","D","appartement",NA,51,"Légère","64 Avenue du 4 Septembre 15000 Aurillac","15000","15014","84","15",655140.52,6424800.69,79.2,"très bonne",8790.1,172,"Gaz naturel",888.1,"Gaz naturel",NA
"2315E1723660H","2023-05-24","E","appartement",NA,98,"Moyenne","24 Avenue du General Milhaud 15000 Aurillac","15000","15014","84","15",655702.38,6425045.36,196,"moyenne",28978.2,295,"Électricité",2081.9,"Électricité",NA
"2315E1600916J","2023-05-14","E","maison",NA,150,"Moyenne","12 Trancis 15210 Ydes","15210","15265","84","15",658396.54,6472687.43,398.9,"insuffisante",43068.7,287,"Bois – Granulés (pellets) ou briquettes",2913,"Bois – Granulés (pellets) ou briquettes",NA
"2315E1710429K","2023-05-23","D","appartement",NA,87.9,"Lourde","Rue de la Chaumette 15100 Saint-Flour","15100","15187","84","15",707286.66,6436712.09,212.9,"moyenne",21615.2,245.8,"Bois – Granulés (pellets) ou briquettes",1400,"Bois – Granulés (pellets) ou briquettes",NA
"2315E1678474J","2023-05-21","D","maison",NA,72.4,"Légère","Rue dâ€ Olt 15340 Cassaniouze","15340","15029","84","15",651119.94,6394846.92,173,"très bonne",17884.1,247,"Électricité",1226.7,"Électricité",NA
"2315E1530464R","2023-05-08","F","maison",NA,60.8,"Moyenne","La Chapelle-Laurent","15500","15042","84","15",718850.05,6453772.02,152.5,"moyenne",25061,412,"Électricité",1682.8,"Électricité",NA
"2315E1648700F","2023-05-18","E","maison",NA,112,"Lourde","Vialle Chalet 15500 Massiac","15500","15119","84","15",716819.47,6462342.29,410.1,"moyenne",31679.7,282,"Fioul domestique",2405.2,"Fioul domestique",NA
"2315E1603661Y","2023-05-14","E","appartement",NA,55,"Moyenne","46 Avenue de la République 15000 Aurillac","15000","15014","84","15",655763.99,6425331.81,146.5,"moyenne",14188.7,257,"Gaz naturel",1200,"Gaz naturel",NA
"2315E1697300L","2023-05-23","G","maison",NA,77,"Lourde","Les Places 15220 Saint-Mamet-la-Salvetat","15220","15196","84","15",644880.81,6418934.84,555.3,"insuffisante",41166.1,534,"Fioul domestique",3813,"Fioul domestique",NA
